Date,Active Energy (kcal),Apple Exercise Time (min),Apple Sleeping Wrist Temperature (ºF),Apple Stand Hour (hours),Apple Stand Time (min),Blood Oxygen Saturation (%),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (bpm),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Step Count (steps),Walking Double Support Percentage (%),Walking Heart Rate Average (bpm),Walking Speed (mi/hr) ,Total Sleep
2024-08-21 00:00:00,396.32,33,,9,96,98.92,7,53.38,48,182,71.82,67.8,12.8,1804,51,4.783333333333330,1.0916666666666700,1.4166666666666700,0.525,9310,27.84,101.5,2.76,7.334
2024-08-22 00:00:00,574.62,29,97.51,14,137,97.11,6,62.49,40,98,68.56,69.94,13.06,1943,67,4.991666666666670,0.9666666666666670,1.7000000000000000,0.26666666666666700,6647,27.83,78,2.63,7.667
2024-08-23 00:00:00,389.29,47,96.18,9,102,97.09,7,64.61,53,169,79.44,59.29,13.38,1796,89,,,,,7142,28.24,100.5,2.64,NA
2024-08-24 00:00:00,199.11,14,,8,65,97.42,6,59.26,48,85,58.38,76.68,12.17,1783,51,4.3916666666666700,0.6750000000000000,1.341666666666670,0.475,8788,28.7,,2.66,7.4
2024-08-25 00:00:00,4.9,3,,,,,9,50.23,,,,,,1384,,,,,,6851,28.15,,2.56,NA
2024-08-26 00:00:00,,,,,,,1,63.98,,,,,,66.12,,,,,,4260,28.45,,2.42,9.166
2024-08-27 00:00:00,1.92,,96.95,,,98,8,56.95,65,84,75.2,29.74,13.4,1729,,,,,,9820,27.39,,2.91,NA
2024-08-28 00:00:00,325.54,9,96.59,12,73,97.1,3,53.06,52,108,63.23,85.63,12.4,1874,54,4.35,1.05,1.075,0.9583333333333340,5915,27.92,100,2.7,7.233
2024-08-29 00:00:00,357.58,28,,12,110,97.65,7,55.26,51,113,67.94,72.2,12.53,1835,58,4.866666666666670,1.25,1.7916666666666700,0.6583333333333330,6198,28.52,100,2.5,9.05
2024-08-30 00:00:00,563.62,45,96.67,15,152,98.82,15,59.29,51,162,73.79,59.63,12.72,1878,57,5.250000000000000,1.3583333333333300,1.5000000000000000,0.3416666666666670,10904,27.37,77,2.83,9.5
2024-08-31 00:00:00,334.49,19,,11,99,96.47,7,60.93,50,116,61.53,48.32,12.5,1841,56,4.0250000000000000,0.9666666666666670,1.8333333333333300,0.30000000000000000,8020,28.28,81,2.58,8.383
2024-09-01 00:00:00,326.05,18,96.73,11,99,97.57,5,55.87,50,92,64.47,65.54,12.83,1844,55,4.9750000000000000,0.9833333333333330,1.675,0.9083333333333340,6475,27.72,,2.86,9.033
2024-09-02 00:00:00,487.44,26,,15,152,97.56,6,57.71,52,154,70.56,66.43,12.93,1879,57,5.275,0.9,1.2666666666666700,0.26666666666666700,9096,27.84,103.5,2.63,8.4
